spl_id;ENV_Site;ENV_Depth;ENV_Latitude;ENV_Longitude;ENV_Management;No-Take;ENV_Coast_type;ENV_Wave_energy;ENV_Terrace_width;ENV_Substratum_hard;ENV_Rugosity;ENV_Height_vertical;ENV_Coral_live;ENV_Coral_reef_building;BIO_Taxo_Ric;BIO_Taxo_Ent;BIO_Func_Ric;BIO_Func_Ent;BIO_Phyl_Ric;BIO_Phyl_Ent;BIO_qual;ES_totbiom;ES_totbiom_fished
site120_5;120;5;12.14782;-68.2978;Marine park;0;Low shore;370;58.8;15.635;1.3805;45;23.49027;66.10746;21;14.1402;4.6449;4.438;6.5134;2.8415;0.825890584;7460.613743;2633.903988
site121_5;121;5;12.14557;-68.3019;Marine park;0;Low shore;370;100.8;8.125;1.1115;11.25;11.52754;41.31737;18;9.3489;4.1314;3.3146;6.3866;2.6734;0.857341128;2231.931708;1036.708018
site122_5;122;5;12.14501;-68.3064;Marine park;0;Low shore;410;117.6;6.88;1.216;6.25;10.98588;97.33096;20;12.0507;5.9737;4.9255;7.8556;3.4682;0.586725039;5595.82551;648.7828707
site123_5;123;5;12.1488;-68.3144;Marine park;0;Low shore;410;130.2;5.265;1.012;1.333333;0.927734;50;7;5.1892;5.1415;3.3738;4.2829;2.5328;0.988590264;1894.045938;304.1178709
site124_5;124;5;12.14951;-68.3193;Marine park;0;Low shore;410;88.2;9.75;1.3865;21.08333;11.82698;39.48127;22;12.7223;5.3438;4.393;7.7461;3.094;0.584327545;13206.72747;5532.909322
site125_5;125;5;12.14982;-68.323;Marine park;0;Low shore;420;92.4;10.63;1.15;9;30.19231;50;20;11.2582;5.1962;4.6204;6.6736;2.95;0.977137241;3307.205412;998.767076
site126_5;126;5;12.14827;-68.3288;Marine park;0;Low shore;430;121.8;15.35;1.529;17.33333;15.2876;45.83333;21;13.321;5.3368;3.4916;7.8911;3.0731;0.811023723;6844.718928;2975.308678
site127_5;127;5;12.15339;-68.3299;Marine park;0;Low shore;340;172.2;10.76;1.2745;13.41667;10.73193;28.7931;16;5.8235;3.0702;2.4296;6.0455;2.2863;0.909123221;7618.880013;3267.906393
site128_5;128;5;12.11642;-68.2954;Marine park;0;Cliff;330;184.8;8.19;1.0575;6.833333;3.906139;0;14;8.2968;6.0695;2.8216;6.0533;2.514;0.992677204;2951.135654;1578.64559
site129_5;129;5;12.12071;-68.293;Marine park;0;Cliff;330;121.8;10.58;1.1225;12.25;0.717703;0;16;8.9302;4.4255;3.1102;5.6655;2.6865;0.839712354;6644.701142;3220.687132
site130_5;130;5;12.12382;-68.2903;Marine park;0;Low shore;330;126;9.33;1.1645;9.166667;4.683056;1.851853;18;9.85;4.5266;2.9775;6.8329;2.7508;0.983458124;5576.135027;2293.407779
site131_5;131;5;12.02832;-68.2369;Marine park;0;Low shore;750;134.4;14.715;1.3395;33.25;18.01609;67.48252;24;13.1301;4.2758;4.1668;7.2432;3.0265;0.686408984;11996.96498;3503.718811
site132_5;132;5;12.02647;-68.2415;Marine park;0;Low shore;750;138.6;14.835;1.4015;36.91667;21.48121;85.22621;22;14.0197;4.4731;3.2533;7.2258;3.1027;0.759794359;7029.492545;3068.241156
site133_5;133;5;12.02556;-68.2457;Marine park;0;Low shore;750;180.6;13.92;1.39;16.25;11.01474;81.54262;19;12.3018;4.4214;3.1492;6.4755;2.8741;0.762014979;7213.06752;2724.265447
site134_5;134;5;12.0255;-68.2503;Marine park;0;Low shore;750;147;12.1;1.3315;15;10.95919;70.78313;15;7.3019;4.5074;3.5401;6.0285;2.6382;0.704495897;9510.177931;3199.481955
site2_10;2;10;12.0284;-68.2525;Marine park;0;Low shore;430;126;1.92;1.05;4;0.049751;0;16;11.166;4.9885;3.9143;6.6045;3.1367;0.837331803;5111.227403;1186.558578
site3_10;3;10;12.03133;-68.2561;Marine park;0;Low shore;430;117.6;17.595;1.8355;58.33333;25.65811;47.15514;27;10.0509;5.252;3.7808;8.7956;2.7493;0.910953646;22076.02322;4330.596088
site4_10;4;10;12.03378;-68.2604;Marine park;0;Low shore;340;117.6;14.77;1.3525;37.5;20.02928;70.6728;27;15.676;5.2722;4.6263;8.4458;3.0769;0.938168363;14079.84142;4372.894672
site5_10;5;10;12.03702;-68.2634;Marine park;0;Low shore;340;151.2;16.13;1.606;37;24.46693;32.56383;33;13.5303;5.1654;3.8771;10.0967;3.0412;0.90268206;23065.91631;3961.555338
site6_10;6;10;12.04129;-68.2653;Marine park;0;Low shore;340;130.2;7.38;1.4535;35;25.78667;50.82557;31;12.1392;5.6712;4.9408;10.0562;3.2644;0.937064126;27354.24661;4507.855698
